fid,objtype,lokalid,navnerom,versjonid,datafangstdato,oppdateringsdato,datauttaksdato,opphav,kommunenummer,navn,Turnover_capita_retail_Omsetning
"103",Kommune,97e07234-6c9b-4b9f-a685-3a016d39b302,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5415",,"50427"
"104",Kommune,3622cd40-32ca-45e5-9457-68f459f22fed,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5043",,"29120"
"105",Kommune,b45137f4-e95c-42aa-85a4-cd5311be2279,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5034",,"49890"
"106",Kommune,4e8f0138-2f58-473c-91fe-813ea0bfcc6a,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5027",,"84065"
"107",Kommune,eb193bc4-8fe7-475e-80e1-596559a90945,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190304000000",,,"5058",,"101822"
"108",Kommune,5b5f81f4-5cc8-48a0-ae54-276032124929,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5061",,"44243"
"109",Kommune,287b1925-357d-49b5-93e4-e57f1c6c48b4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1825",,"30036"
"110",Kommune,6f4737c7-908c-4c1a-918b-8e1a5b20ef6b,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4637",,"42803"
"111",Kommune,4e93a0d0-eeda-47e1-83f4-cbc9103b6371,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5046",,"28111"
"112",Kommune,81fcfb11-829c-4676-93e6-69d4ba3b4fe1,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1826",,"48958"
"113",Kommune,5c28ff58-9e10-493a-a12c-df15d41cebd4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1122",,"95528"
"114",Kommune,b3e95560-b2c2-4f41-b51e-9c90b487fec0,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1114",,"43840"
"115",Kommune,8391ebe6-293c-4709-a0c5-a15824b58fdd,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5441",,"59257"
"116",Kommune,5bdc379c-ef04-496f-a65f-9a6ca5cb66e4,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1834",,"96742"
"117",Kommune,1d284acf-fc2c-4a5c-ae34-4e5afe0bec77,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4646",,"69771"
"118",Kommune,c380ea63-1619-400b-8d47-dede3749f5b8,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4622",,"94690"
"119",Kommune,753d80fa-0806-4a1d-820d-a15e197c261d,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20080101000000",,,"1505",,"112766"
"120",Kommune,198eef71-90ea-47f4-acd3-1e21b80e39a3,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1813",,"100876"
"121",Kommune,511c60a9-d307-4c31-ac25-781af6330c27,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20190315000000","20211101000000","Matrikkelen, Kommunegrenser-SOSI (MAT0016)","4618",,"87381"
"122",Kommune,8a4368df-49d2-4860-ba79-95dec7a8f69d,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4645",,"69714"
