fid,name,note,opening_hours,website,wikipedia,postal_code,shop,Vinmonopolet
"334",Ølen Senter,,"Mo-Fr 07:00-23:00; Sa 08:00-21:00",,,"5580","9",false
"335",109 Senteret,Senter?,Mo-Sa 07:00-23:00,,,"1718","6",false
"336",Ågotnes senter,ikke senter,,,,,mall,
"337",Blåhuset Ulsteinvik,,"Mo-Fr 10:00-19:00; Sa 10-16",,,"6065","13",true
"338",Mo Handelspark,,"Mo-Fr 08:00-22:00; Sa 08:00-20:00",,,"8626","7",false
"340",,,,,,,,
"341",Bygnes senter,ikke senter,,,,,mall,
"342",,,,,,,,
"343",Bømlo Storsenter,pningstider Rema,Mo-Sa 07:00-23:00,https://amfi.no/kjopesentre/bomlo-storsenter/,,"5430","17",true
"345",Tune Handelspark,ikke senter,,,,,mall,
"348",Elvetorget – Elvegården,,"Mo-Fr 10:00-20:00; Sa 10:00-16:00",https://elvetorget.no/,,"6800","38",false
"349",Iseveien kjøpesenter,,"Mo-Fr 06:00-20:00; Sa 07:30-18:00",,,"1738","14",false
"350",Torsbusenteret,ikke senter,,,,,mall,
"351",Herkules,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",,,"3730","111",false
"352",,,,,,,,
"353",Amfi Fauske,,"Mo-Fr 10:00-19:00; Sa 09:00-16:00",,,"8200","25",true
"354",Amfi Sunndal,Alti sundals,"Mo-Fr 10:00-19:00; Sa 09:00-16:00",https://amfi.no/kjopesentre/amfi-sunndal/,,"6600","28",true
"355",,,,,,,,
"356",Pyramiden,,"Mo-Fr 08:00-21:00; Sa 08:00-20:00",https://www.pyramidensenter.no/,,"6868","13",true
"357",Amfi Eidsvoll,,"Mo-Fr 10:00-20:00; Sa 09:00-18:00",,,"2070","55",true
"358",Banak Senteret,,"Mo-We 09:00-16:00; Sa 10:00-15:00; Su stengt (fridag); Th, Fr 09:00-17:00",,,"9700","11",true
"359",Bodø Storsenter,,"Mo-Fr 07:00-21:00; Sa 10:00-18:00",,,"8008","5",false
"360",Re Torvet,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",,,"3174","50",true
"361",,,,,,,,
"362",Amfi Bjørkelangen torg,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"1940","28",true
"363",Amfi Skansen,,"Mo-Fr 10:00-19:00; Sa 10:00-18:00",,,"8800","22",true
"364",,,,,,,,
"365",Bardufoss Torgsenter,ingen info,"Mo-Fr 10:00-18:00; Sa 10:00-15:00",,,,mall,
"366",Kvervesenteret,ikke senter,,,,,mall,
"367",Føynlandsenteret,ingen info,,,,,mall,
"368",Kvadraten kjøpesenter,,"Mo-Fr 10:00-21:00; Sa 10:00-18:00",,,"4313","154",true
"369",Amfi Larvik,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",,,"3256","28",true
"370",Bobyn Shopping,Amfi Verdal,"Mo-Fr 10:00-19:00; Sa 10:00-16:00",,,"7650","31",true
"373",Dale senter,,"Mo-Fr 09:00-18:00; Sa 09:00-16:00",https://www.facebook.com/DaleSenter,,"6963",mall,
"375",Hovengasenteret,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",,,"3914","13",false
